,data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
5897,2023-11-04 19:07:09.826352,Viva Real,2643938230,"Imóvel comercial    para Aluguel, 725m²","Itacorubi, Florianópolis - SC",,,Itacorubi,florianopolis,29000,Mês,,725,,,2,https://vivareal.com.br/imovel/imovel-comercial-itacorubi-bairros-florianopolis-com-garagem-725m2-aluguel-RS29000-id-2643938230/,
5898,2023-11-04 19:07:09.829051,Viva Real,2619241870,"Ponto comercial/Loja/Box    para Aluguel, 340m²","Avenida Deputado Diomício Freitas - Carianos, Florianópolis - SC",Avenida Deputado Diomício Freitas ,, Carianos,florianopolis,15300,Mês,,340,,,,https://vivareal.com.br/imovel/ponto-comercial-carianos-bairros-florianopolis-340m2-aluguel-RS15300-id-2619241870/,Aceita animais
5899,2023-11-04 19:07:09.831461,Viva Real,2597720458,"Apartamento com 2 Quartos para Aluguel, 111m²","Ingleses do Rio Vermelho, Florianópolis - SC",,,Ingleses do Rio Vermelho,florianopolis,480,Dia,,111,2,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-111m2-aluguel-RS480-id-2597720458/,Churrasqueira; Elevador; Ar-condicionado; Aceita animais; Mobiliado
5900,2023-11-04 19:07:09.833823,Viva Real,2660984893,"Ponto comercial/Loja/Box    para Aluguel, 172m²","Rua Ferreira Lima, 77 - Centro, Florianópolis - SC",Rua Ferreira Lima,77, Centro,florianopolis,9500,Mês,,172,2,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-172m2-aluguel-RS9500-id-2660984893/,Condomínio fechado; Portão eletrônico; Portaria 24h
5901,2023-11-04 19:07:09.836289,Viva Real,2648258867,"Casa com 5 Quartos para Aluguel, 277m²","Rua da Escova de Garrafa - Cachoeira do Bom Jesus, Florianópolis - SC",Rua da Escova de Garrafa ,, Cachoeira do Bom Jesus,florianopolis,9000,Mês,300,277,5,5,2,https://vivareal.com.br/imovel/casa-5-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-com-garagem-277m2-aluguel-RS9000-id-2648258867/,Mobiliado; Churrasqueira; Aceita animais; Garagem; Ar-condicionado; ...
5902,2023-11-04 19:07:09.839000,Viva Real,2613458215,"Sala/Conjunto    para Aluguel, 254m²","Centro, Florianópolis - SC",,,Centro,florianopolis,7000,Mês,,254,4,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-254m2-aluguel-RS7000-id-2613458215/,
5903,2023-11-04 19:07:09.841192,Viva Real,2605091954,"Ponto comercial/Loja/Box    para Aluguel, 409m²","Rua Moacyr Pereira Júnior, 77 - Lagoa da Conceição, Florianópolis - SC",Rua Moacyr Pereira Júnior,77, Lagoa da Conceição,florianopolis,12000,Mês,,409,3,,,https://vivareal.com.br/imovel/ponto-comercial-lagoa-da-conceicao-bairros-florianopolis-409m2-aluguel-RS12000-id-2605091954/,
5904,2023-11-04 19:07:09.843333,Viva Real,2659043102,"Cobertura com 3 Quartos para Aluguel, 330m²","Rua Bocaiúva - Agronômica, Florianópolis - SC",Rua Bocaiúva ,, Agronômica,florianopolis,17600,Mês,2500,330,3,3,4,https://vivareal.com.br/imovel/cobertura-3-quartos-agronomica-bairros-florianopolis-com-garagem-330m2-aluguel-RS17600-id-2659043102/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...
5905,2023-11-04 19:07:09.845454,Viva Real,2653298730,"Sala/Conjunto    para Aluguel, 34m²","Jurerê Internacional, Florianópolis - SC",,,Jurerê Internacional,florianopolis,5300,Mês,,34,1,,,https://vivareal.com.br/imovel/sala-comercial-jurere-internacional-bairros-florianopolis-34m2-aluguel-RS5300-id-2653298730/,Interfone; Salão de festas
5906,2023-11-04 19:07:09.847724,Viva Real,2579325550,"Sala/Conjunto    para Aluguel, 235m²","Rua Marechal Guilherme, 147 - Centro, Florianópolis - SC",Rua Marechal Guilherme,147, Centro,florianopolis,4100,Mês,,235,2,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-235m2-aluguel-RS4100-id-2579325550/,
5907,2023-11-04 19:07:09.849840,Viva Real,62568665,"Apartamento com 3 Quartos para Aluguel, 140m²","Ingleses do Rio Vermelho, Florianópolis - SC",,,Ingleses do Rio Vermelho,florianopolis,1000,Dia,,140,3,3,2,https://vivareal.com.br/imovel/apartamento-3-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-140m2-aluguel-RS1000-id-62568665/,Piscina; Mobiliado; Churrasqueira; Varanda; Quintal; ...
5908,2023-11-04 19:07:09.851982,Viva Real,2646446694,"Prédio/Edificio inteiro    para Aluguel, 720m²","Rua Aleixo Alves de Souza, 522 - Jardim Atlântico, Florianópolis - SC",Rua Aleixo Alves de Souza,522, Jardim Atlântico,florianopolis,25000,Mês,,720,2,,,https://vivareal.com.br/imovel/predio-comercial-jardim-atlantico-bairros-florianopolis-720m2-aluguel-RS25000-id-2646446694/,Ar-condicionado; Escritório
5909,2023-11-04 19:07:09.854091,Viva Real,2652698631,"Apartamento com  Quarto para Aluguel, 46m²","Rua das Camélias, 72 - Carvoeira, Florianópolis - SC",Rua das Camélias,72, Carvoeira,florianopolis,4800,Mês,500,46,2,1,1,https://vivareal.com.br/imovel/apartamento-1-quartos-carvoeira-bairros-florianopolis-com-garagem-46m2-aluguel-RS4800-id-2652698631/,Garagem
5910,2023-11-04 19:07:09.856263,Viva Real,2646402156,"Apartamento com  Quarto para Aluguel, 30m²","Rua Antônio José Thomaz da Costa - Campeche, Florianópolis - SC",Rua Antônio José Thomaz da Costa ,, Campeche,florianopolis,3700,Mês,775,30,1,1,,https://vivareal.com.br/imovel/apartamento-1-quartos-campeche-bairros-florianopolis-30m2-aluguel-RS3700-id-2646402156/,Elevador; Interfone
5911,2023-11-04 19:07:09.858342,Viva Real,2558522468,"Ponto comercial/Loja/Box    para Aluguel, 114m²","Rua Álvaro de Carvalho, 220 - Centro, Florianópolis - SC",Rua Álvaro de Carvalho,220, Centro,florianopolis,10000,Mês,,114,1,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-114m2-aluguel-RS10000-id-2558522468/,
5912,2023-11-04 19:07:09.860393,Viva Real,2595447757,"Sala/Conjunto    para Aluguel, 150m²","Rua Lauro Linhares, 2055 - Trindade, Florianópolis - SC",Rua Lauro Linhares,2055, Trindade,florianopolis,6800,Mês,,150,4,,4,https://vivareal.com.br/imovel/sala-comercial-trindade-bairros-florianopolis-com-garagem-150m2-aluguel-RS6800-id-2595447757/,Elevador; Copa
5913,2023-11-04 19:07:09.862432,Viva Real,2665052060,"Casa com 4 Quartos para Aluguel, 216m²","Joao Paulo, Florianópolis - SC",,,Joao Paulo,florianopolis,9500,Mês,,216,3,4,2,https://vivareal.com.br/imovel/casa-4-quartos-joao-paulo-bairros-florianopolis-com-garagem-216m2-aluguel-RS9500-id-2665052060/,Cozinha; Área de serviço
5914,2023-11-04 19:07:09.864674,Viva Real,2599238160,"Casa com 5 Quartos para Aluguel, 252m²","Rua Professor Paulo Roberto Martins, 54 - Santa Mônica, Florianópolis - SC",Rua Professor Paulo Roberto Martins,54, Santa Mônica,florianopolis,22000,Mês,,252,4,5,6,https://vivareal.com.br/imovel/casa-5-quartos-santa-monica-bairros-florianopolis-com-garagem-252m2-aluguel-RS22000-id-2599238160/,Piscina; Churrasqueira; Quintal; Área de serviço; Escritório; ...
5915,2023-11-04 19:07:09.866869,Viva Real,2589098237,"Apartamento com 2 Quartos para Aluguel, 60m²","Ingleses do Rio Vermelho, Florianópolis - SC",,,Ingleses do Rio Vermelho,florianopolis,500,Dia,,60,1,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-60m2-aluguel-RS500-id-2589098237/,
5916,2023-11-04 19:07:09.868965,Viva Real,2609201093,"Apartamento com 4 Quartos para Aluguel, 179m²","Estrada Haroldo Soares Glavan, 3838 - Cacupé, Florianópolis - SC",Estrada Haroldo Soares Glavan,3838, Cacupé,florianopolis,12000,Mês,1500,179,5,4,1,https://vivareal.com.br/imovel/apartamento-4-quartos-cacupe-bairros-florianopolis-com-garagem-179m2-aluguel-RS12000-id-2609201093/,Mobiliado; Elevador; Ar-condicionado; Playground; Varanda gourmet; ...
5917,2023-11-04 19:07:09.871118,Viva Real,62568777,"Casa com 4 Quartos para Aluguel, 300m²","Ingleses do Rio Vermelho, Florianópolis - SC",,,Ingleses do Rio Vermelho,florianopolis,1800,Dia,,300,2,4,2,https://vivareal.com.br/imovel/casa-4-quartos-ingleses-do-rio-vermelho-bairros-florianopolis-com-garagem-300m2-aluguel-RS1800-id-62568777/,Mobiliado
5918,2023-11-04 19:07:09.873364,Viva Real,2650400534,"Apartamento com 3 Quartos para Aluguel, 105m²","Rua Antônio Eleutério Vieira, 150 - Agronômica, Florianópolis - SC",Rua Antônio Eleutério Vieira,150, Agronômica,florianopolis,4400,Mês,900,105,2,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-agronomica-bairros-florianopolis-com-garagem-105m2-aluguel-RS4400-id-2650400534/,Piscina; Condomínio fechado; Garagem; Salão de festas; Quadra poliesportiva; ...
5919,2023-11-04 19:07:09.876102,Viva Real,2643846394,"Imóvel comercial    para Aluguel, 158m²","Centro, Florianópolis - SC",,,Centro,florianopolis,1700,Mês,1409,158,,,,https://vivareal.com.br/imovel/imovel-comercial-centro-bairros-florianopolis-158m2-aluguel-RS1700-id-2643846394/,
5920,2023-11-04 19:07:09.878015,Viva Real,2646848956,"Ponto comercial/Loja/Box    para Aluguel, 154m²","Rua Santos Saraiva - Estreito, Florianópolis - SC",Rua Santos Saraiva ,, Estreito,florianopolis,2800,Mês,,154,1,,3,https://vivareal.com.br/imovel/ponto-comercial-estreito-bairros-florianopolis-com-garagem-154m2-aluguel-RS2800-id-2646848956/,
