data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
2023-11-07 15:35:10.988316,Vivareal,2610533063,"Imóvel comercial    para Aluguel, 192m²","Itacorubi, Florianópolis - SC",,,Itacorubi,florianopolis,11900,Mês,,192.0,,,,https://vivareal.com.br/imovel/imovel-comercial-itacorubi-bairros-florianopolis-192m2-aluguel-RS11900-id-2610533063/,
2023-11-07 15:35:10.989718,Vivareal,2655187811,"Apartamento com 3 Quartos para Aluguel, 88m²","Rodovia Amaro Antônio Vieira, 2593 - Itacorubi, Florianópolis - SC",Rodovia Amaro Antônio Vieira,2593.0, Itacorubi,florianopolis,3500,Mês,1400.0,88.0,2.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-itacorubi-bairros-florianopolis-com-garagem-88m2-aluguel-RS3500-id-2655187811/,Piscina; Varanda; Academia; Garagem; Playground; ...
2023-11-07 15:35:10.991027,Vivareal,2554411893,"Sala/Conjunto    para Aluguel, 120m²","Avenida Rio Branco - Centro, Florianópolis - SC",Avenida Rio Branco ,, Centro,florianopolis,2965,Mês,,120.0,3.0,,,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-120m2-aluguel-RS2965-id-2554411893/,Elevador
2023-11-07 15:35:12.597957,Vivareal,2663727878,"Sala/Conjunto    para Aluguel, 230m²","Rua Patrício Farias, 131 - Itacorubi, Florianópolis - SC",Rua Patrício Farias,131.0, Itacorubi,florianopolis,10000,Mês,,230.0,1.0,,,https://vivareal.com.br/imovel/sala-comercial-itacorubi-bairros-florianopolis-230m2-aluguel-RS10000-id-2663727878/,
2023-11-07 15:35:12.599704,Vivareal,2624531433,"Apartamento com 3 Quartos para Aluguel, 155m²","Rua João Meirelles, 1436 - Abraão, Florianópolis - SC",Rua João Meirelles,1436.0, Abraão,florianopolis,4000,Mês,1009.0,155.0,3.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-abraao-bairros-florianopolis-com-garagem-155m2-aluguel-RS4000-id-2624531433/,Piscina; Churrasqueira; Condomínio fechado; Aceita animais; Área de serviço; ...
2023-11-07 15:35:12.601229,Vivareal,2651909467,"Sala/Conjunto    para Aluguel, 439m²","Saco Grande, Florianópolis - SC",,,Saco Grande,florianopolis,19733,Mês,,439.0,,,9.0,https://vivareal.com.br/imovel/sala-comercial-saco-grande-bairros-florianopolis-com-garagem-439m2-aluguel-RS19733-id-2651909467/,Garagem
2023-11-07 15:35:12.603485,Vivareal,2665675010,"Ponto comercial/Loja/Box    para Aluguel, 450m²","Avenida Prefeito Acácio Garibaldi S. Thiago, 2410 - Lagoa da Conceição, Florianópolis - SC",Avenida Prefeito Acácio Garibaldi S. Thiago,2410.0, Lagoa da Conceição,florianopolis,18000,Mês,,450.0,3.0,,,https://vivareal.com.br/imovel/ponto-comercial-lagoa-da-conceicao-bairros-florianopolis-450m2-aluguel-RS18000-id-2665675010/,Varanda; Cozinha grande; Despensa; Janela grande; Ambientes integrados; ...
2023-11-07 15:35:12.605088,Vivareal,2663390301,"Apartamento com 2 Quartos para Aluguel, 100m²","Rua Gilmar Darli Vieira - Campeche, Florianópolis - SC",Rua Gilmar Darli Vieira ,, Campeche,florianopolis,8000,Mês,872.0,100.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-100m2-aluguel-RS8000-id-2663390301/,Piscina; Churrasqueira; Elevador; Condomínio fechado; Academia; ...
2023-11-07 15:35:12.606608,Vivareal,2665382024,"Apartamento com 3 Quartos para Aluguel, 103m²","Rua Germano Wendhausen - Centro, Florianópolis - SC",Rua Germano Wendhausen ,, Centro,florianopolis,9000,Mês,868.0,103.0,4.0,3.0,1.0,https://vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-florianopolis-com-garagem-103m2-aluguel-RS9000-id-2665382024/,Piscina; Elevador; Academia; Espaço gourmet; Garagem; ...
2023-11-07 15:35:12.608023,Vivareal,2632568954,"Imóvel comercial com  Quarto para Aluguel, 164m²","Rua Santos Lostada, 133 - Coqueiros, Florianópolis - SC",Rua Santos Lostada,133.0, Coqueiros,florianopolis,6900,Mês,,164.0,2.0,1.0,2.0,https://vivareal.com.br/imovel/imovel-comercial-1-quartos-coqueiros-bairros-florianopolis-com-garagem-164m2-aluguel-RS6900-id-2632568954/,
2023-11-07 15:35:12.609427,Vivareal,2660642255,"Casa de condomínio com 3 Quartos para Aluguel, 438m²","Rua da Capela, 487 - Campeche, Florianópolis - SC",Rua da Capela,487.0, Campeche,florianopolis,20000,Mês,1920.0,438.0,5.0,3.0,2.0,https://vivareal.com.br/imovel/casa-de-condominio-3-quartos-campeche-bairros-florianopolis-com-garagem-438m2-aluguel-RS20000-id-2660642255/,Piscina; Churrasqueira; Quintal; Ar-condicionado; Área de serviço; ...
2023-11-07 15:35:12.610828,Vivareal,2620624647,"Prédio/Edificio inteiro    para Aluguel, 570m²","Saco dos Limões, Florianópolis - SC",,,Saco dos Limões,florianopolis,15000,Mês,,570.0,5.0,,1.0,https://vivareal.com.br/imovel/predio-comercial-saco-dos-limoes-bairros-florianopolis-com-garagem-570m2-aluguel-RS15000-id-2620624647/,Mais de um andar; Armário na cozinha; Copa; Escritório; Jardim
2023-11-07 15:35:12.612384,Vivareal,2608710109,"Apartamento com 4 Quartos para Aluguel, 179m²","Estrada Haroldo Soares Glavan, 3838 - Cacupé, Florianópolis - SC",Estrada Haroldo Soares Glavan,3838.0, Cacupé,florianopolis,12000,Mês,1400.0,179.0,5.0,4.0,2.0,https://vivareal.com.br/imovel/apartamento-4-quartos-cacupe-bairros-florianopolis-com-garagem-179m2-aluguel-RS12000-id-2608710109/,Mobiliado; Elevador; Varanda; Academia; Espaço gourmet; ...
2023-11-07 15:35:12.613993,Vivareal,2648068445,Apartamento com 3 Quartos à Venda/Aluguel 131m²,"Avenida das Raias, 254 - Jurerê Internacional, Florianópolis - SC",Avenida das Raias,254.0, Jurerê Internacional,florianopolis,1100,Dia,1200.0,131.0,4.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-jurere-internacional-bairros-florianopolis-com-garagem-131m2-venda-RS2600000-id-2648068445/,Piscina; Mobiliado; Churrasqueira; Elevador; Condomínio fechado; ...
2023-11-07 15:35:12.615518,Vivareal,2643937708,"Imóvel comercial    para Aluguel, 725m²","Itacorubi, Florianópolis - SC",,,Itacorubi,florianopolis,29000,Mês,,725.0,,,2.0,https://vivareal.com.br/imovel/imovel-comercial-itacorubi-bairros-florianopolis-com-garagem-725m2-aluguel-RS29000-id-2643937708/,
2023-11-07 15:35:12.617010,Vivareal,2651860558,"Apartamento com 3 Quartos para Aluguel, 95m²","Rua Gilmar Darli Vieira, 312 - Campeche, Florianópolis - SC",Rua Gilmar Darli Vieira,312.0, Campeche,florianopolis,12000,Mês,1064.0,95.0,3.0,3.0,2.0,https://vivareal.com.br/imovel/apartamento-3-quartos-campeche-bairros-florianopolis-com-garagem-95m2-aluguel-RS12000-id-2651860558/,Mobiliado; Churrasqueira; Elevador; Condomínio fechado; Espaço gourmet; ...
2023-11-07 15:35:12.618494,Vivareal,2554411147,"Ponto comercial/Loja/Box    para Aluguel, 16m²","Rua Tenente Silveira - Centro, Florianópolis - SC",Rua Tenente Silveira ,, Centro,florianopolis,500,Mês,,16.0,,,,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-16m2-aluguel-RS500-id-2554411147/,Elevador
2023-11-07 15:35:12.619917,Vivareal,2534387582,"Ponto comercial/Loja/Box    para Aluguel, 241m²","Rua José Brognoli, 117 - Saco dos Limões, Florianópolis - SC",Rua José Brognoli,117.0, Saco dos Limões,florianopolis,8910,Mês,,241.0,1.0,,2.0,https://vivareal.com.br/imovel/ponto-comercial-saco-dos-limoes-bairros-florianopolis-com-garagem-241m2-aluguel-RS8910-id-2534387582/,Elevador; Interfone
