,data,fonte,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url
31,2023-10-26 14:03:30.052498,Viva Real,"Apartamento com  Quarto para Aluguel, 41m²","Avenida Professor Othon Gama D'Eça , Centro, Florianópolis , SC",Avenida Professor Othon Gama D'Eça ,, Centro,florianopolis,         1800 ,Mês,405,41,1,1,,https://vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-florianopolis-41m2-aluguel-RS1800-id-2664391112/
32,2023-10-26 14:03:30.057329,Viva Real,"Apartamento com 3 Quartos para Aluguel, 85m²","Rua Professor Clementino de Brito, 205 , Capoeiras, Florianópolis , SC",Rua Professor Clementino de Brito,205, Capoeiras,florianopolis,         3300 ,Mês,650,85,2,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-capoeiras-bairros-florianopolis-com-garagem-85m2-aluguel-RS3300-id-2661560554/
33,2023-10-26 14:03:30.062040,Viva Real,"Apartamento com 2 Quartos para Aluguel, 44m²","Avenida Marinheiro Max Schramm, 2428 , Jardim Atlântico, Florianópolis , SC",Avenida Marinheiro Max Schramm,2428, Jardim Atlântico,florianopolis,         1100 ,Mês,345,44,1,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-jardim-atlantico-bairros-florianopolis-com-garagem-44m2-aluguel-RS1100-id-2663536876/
34,2023-10-26 14:03:30.066588,Viva Real,"Casa com 2 Quartos para Aluguel, 65m²","Rua Professor João José Cabral, 0 , Balneário, Florianópolis , SC",Rua Professor João José Cabral,0, Balneário,florianopolis,         1600 ,Mês,,65,1,2,,https://vivareal.com.br/imovel/casa-2-quartos-balneario-bairros-florianopolis-65m2-aluguel-RS1600-id-2662558680/
35,2023-10-26 14:03:30.070923,Viva Real,"Apartamento com 2 Quartos para Aluguel, 81m²","Rodovia João Paulo, 1543 , Joao Paulo, Florianópolis , SC",Rodovia João Paulo,1543, Joao Paulo,florianopolis,         3800 ,Mês,650,81,1,2,1,https://vivareal.com.br/imovel/apartamento-2-quartos-joao-paulo-bairros-florianopolis-com-garagem-81m2-aluguel-RS3800-id-2663854521/
36,2023-10-26 14:03:32.152059,Viva Real,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Lauro Linhares, 1520 , Trindade, Florianópolis , SC",Rua Lauro Linhares,1520, Trindade,florianopolis,         2900 ,Mês,750,110,2,3,1,https://vivareal.com.br/imovel/apartamento-3-quartos-trindade-bairros-florianopolis-com-garagem-110m2-aluguel-RS2900-id-2664501915/
37,2023-10-26 14:03:32.158110,Viva Real,"Apartamento com  Quarto para Aluguel, 58m²","Rua Osvaldo Cruz, 137 , Balneario do Estreito, Florianópolis , SC",Rua Osvaldo Cruz,137, Balneario do Estreito,florianopolis,         1700 ,Mês,390,58,1,1,1,https://vivareal.com.br/imovel/apartamento-1-quartos-balneario-do-estreito-bairros-florianopolis-com-garagem-58m2-aluguel-RS1700-id-2664478805/
38,2023-10-26 14:03:32.163214,Viva Real,"Casa com 3 Quartos para Aluguel, 245m²","Rua da Corticeira da Serra, 51 , Cachoeira do Bom Jesus, Florianópolis , SC",Rua da Corticeira da Serra,51, Cachoeira do Bom Jesus,florianopolis,         2400 ,Dia,,245,4,3,,https://vivareal.com.br/imovel/casa-3-quartos-cachoeira-do-bom-jesus-bairros-florianopolis-245m2-aluguel-RS2400-id-2664468509/
39,2023-10-26 14:03:32.168239,Viva Real,"Casa com 2 Quartos para Aluguel, 110m²","Rua Recanto do Beija,Flor, 128 , Campeche, Florianópolis , SC",Rua Recanto do Beija,128, Campeche,florianopolis,         4700 ,Mês,,110,6,2,2,https://vivareal.com.br/imovel/casa-2-quartos-campeche-bairros-florianopolis-com-garagem-110m2-aluguel-RS4700-id-2664505331/
40,2023-10-26 14:03:32.173313,Viva Real,"Apartamento com  Quarto para Aluguel, 35m²","Rua Maria Eduarda, 238 , Pantanal, Florianópolis , SC",Rua Maria Eduarda,238, Pantanal,florianopolis,         2950 ,Mês,610,35,1,1,,https://vivareal.com.br/imovel/apartamento-1-quartos-pantanal-bairros-florianopolis-35m2-aluguel-RS2950-id-2664482912/
